,Representation Learning,DFT & Electronic Structure,Interatomic Potentials,General Tools,Materials Discovery
2023-06-12,0.0,36.0,0.0,0.0,14.0
2023-06-13,0.0,41.0,0.0,0.0,20.0
2023-08-13,0.0,39.0,0.0,0.0,22.0
2023-08-14,0.0,39.0,0.0,0.0,22.0
2023-08-15,170.0,39.0,0.0,72.0,22.0
2023-08-23,222.0,38.0,0.0,71.0,22.0
2023-08-25,366.0,75.0,0.0,110.0,31.0
2023-08-26,396.0,78.0,347.0,110.0,31.0
2023-08-29,411.0,76.0,347.0,110.0,31.0
2023-08-30,410.0,76.0,346.0,110.0,31.0
2023-08-31,411.0,76.0,347.0,110.0,31.0
2023-09-07,412.0,76.0,347.0,110.0,32.0
2023-09-14,408.0,77.0,344.0,110.0,31.0
2023-09-21,406.0,76.0,344.0,110.0,32.0
2023-09-28,410.0,75.0,342.0,111.0,32.0
2023-10-04,404.0,75.0,344.0,112.0,30.0
2023-10-05,403.0,74.0,343.0,111.0,30.0
2023-10-12,408.0,75.0,348.0,111.0,30.0
2023-10-19,408.0,74.0,349.0,110.0,30.0
2023-11-02,412.0,74.0,350.0,110.0,30.0
2023-11-30,410.0,75.0,350.0,107.0,29.0
2023-12-03,507.0,108.0,393.0,107.0,29.0
2023-12-04,556.0,108.0,437.0,148.0,42.0
2023-12-05,557.0,108.0,437.0,148.0,44.0
2023-12-06,558.0,108.0,445.0,149.0,44.0
2023-12-07,558.0,108.0,445.0,149.0,44.0
2023-12-10,562.0,108.0,445.0,149.0,49.0
2023-12-14,561.0,108.0,444.0,149.0,49.0
2023-12-21,561.0,108.0,445.0,150.0,49.0
2023-12-25,564.0,109.0,446.0,149.0,52.0
2024-01-04,554.0,110.0,438.0,148.0,51.0
2024-01-11,557.0,116.0,440.0,149.0,52.0
2024-01-18,561.0,116.0,441.0,149.0,51.0
2024-01-25,558.0,115.0,446.0,148.0,52.0
2024-02-01,555.0,116.0,445.0,146.0,52.0
2024-02-08,555.0,117.0,446.0,145.0,52.0
2024-02-15,561.0,117.0,450.0,145.0,52.0
2024-02-22,564.0,117.0,455.0,144.0,52.0
2024-03-07,565.0,120.0,458.0,143.0,49.0
2024-03-14,567.0,120.0,460.0,144.0,48.0
2024-03-17,569.0,123.0,488.0,146.0,48.0
2024-03-28,575.0,124.0,498.0,147.0,48.0
2024-04-04,578.0,124.0,497.0,147.0,49.0
2024-04-11,579.0,125.0,499.0,147.0,50.0
2024-04-25,580.0,123.0,496.0,147.0,50.0
2024-05-01,579.0,122.0,496.0,148.0,52.0
2024-05-02,580.0,122.0,498.0,148.0,52.0
2024-05-09,583.0,123.0,495.0,149.0,52.0
2024-05-23,579.0,122.0,494.0,149.0,52.0
2024-05-30,579.0,122.0,494.0,150.0,52.0
2024-06-06,577.0,123.0,489.0,149.0,53.0
2024-06-13,584.0,123.0,491.0,161.0,65.0
2024-06-14,584.0,123.0,506.0,161.0,65.0
2024-06-18,608.0,127.0,507.0,161.0,64.0
2024-06-20,605.0,124.0,506.0,159.0,64.0
2024-06-27,604.0,124.0,509.0,160.0,65.0
2024-07-04,607.0,123.0,511.0,163.0,65.0
2024-07-11,610.0,123.0,513.0,165.0,70.0
2024-07-18,612.0,123.0,519.0,166.0,71.0
2024-07-23,612.0,123.0,518.0,166.0,71.0
2024-08-08,611.0,119.0,521.0,165.0,71.0
2024-08-11,634.0,119.0,570.0,165.0,71.0
2024-08-15,762.4125,157.89473684210526,732.741935483871,194.0,96.6875
2024-08-16,773.55,157.89473684210526,751.9354838709678,202.0,104.125
2024-08-17,772.5375,156.8421052631579,753.0645161290322,202.0,104.125
2024-08-18,773.55,169.05,766.3492063492064,213.0,104.125
2024-08-19,774.5625,170.1,767.4761904761905,215.0,104.125
2024-08-22,774.5625,171.15,768.6031746031746,214.0,104.125
2024-08-29,776.5875,174.3,762.968253968254,213.0,105.1875
2024-08-30,777.6,174.3,764.0952380952381,213.0,105.1875
2024-09-05,781.5308641975308,173.25,762.75,214.0,102.0
2024-09-06,782.5432098765432,173.25,771.5538461538462,213.0,102.0
2024-09-12,784.5679012345679,174.3,774.9230769230769,215.0,104.125
2024-09-19,791.6543209876543,174.3,782.7846153846153,213.0,104.125
2024-09-26,791.6543209876543,176.4,789.5230769230769,215.0,106.25
2024-10-03,788.6172839506173,176.4,781.6615384615385,215.0,103.0625
2024-10-17,792.6666666666666,177.45,786.1538461538462,215.0,102.0
2024-10-21,801.7777777777778,178.5,806.1515151515151,215.0,103.0625
2024-10-24,801.7777777777778,179.55,811.7575757575758,215.0,103.0625
2024-11-07,793.679012345679,179.55,806.1515151515151,213.0,103.0625
2024-11-14,794.6913580246913,178.5,803.9090909090909,212.0,102.0
2024-11-19,803.6829268292684,178.5,817.1641791044776,212.0,104.125
2024-11-21,803.6829268292684,178.5,817.1641791044776,212.0,106.25
2024-12-05,784.4512195121952,176.4,795.8955223880597,201.0,97.75
2025-01-02,796.5975609756098,178.5,839.3529411764706,212.0,103.0625
2025-01-09,795.5853658536586,179.55,838.2352941176471,214.0,103.0625
2025-01-16,799.6341463414634,180.6,841.5882352941177,216.0,104.125
2025-01-30,799.6341463414634,182.7,844.9411764705883,216.0,104.125
2025-02-13,791.5365853658536,182.7,840.4705882352941,216.0,99.875
2025-02-20,795.5853658536586,181.65,833.7647058823529,216.0,99.875
2025-02-27,797.609756097561,182.7,833.7647058823529,216.0,99.875
2025-03-06,792.5487804878048,179.55,828.1764705882352,213.0,98.8125
2025-03-13,794.5731707317073,182.7,833.7647058823529,215.0,98.8125
2025-03-27,802.6707317073171,185.85,841.5882352941177,217.0,98.8125
2025-03-29,838.8690476190476,185.85,893.4788732394367,238.0,98.8125
2025-03-30,839.8809523809524,185.85,904.1111111111111,238.0,111.0
2025-03-31,900.2298850574713,185.85,1002.5526315789474,237.0,111.0
2025-04-02,920.0,193.4090909090909,1040.7088607594937,237.0,110.0
2025-04-03,921.9130434782609,208.69565217391306,1039.620253164557,237.0,110.0
2025-04-04,954.0425531914893,221.0,1140.8720930232557,237.0,123.0
2025-04-05,954.0425531914893,221.0,1152.8505747126437,237.0,123.0
2025-04-07,1130.7478260869566,232.2,1188.0,277.0,214.0
2025-04-08,1139.7413793103449,261.42857142857144,1210.9255319148936,277.0,214.0
2025-04-09,1181.8487394957983,263.57142857142856,1214.148936170213,275.0,215.0
2025-04-10,1181.8487394957983,263.57142857142856,1216.2978723404256,278.0,215.0
